;participant;condition;reversed;size;colour;phase;dimension1mean;dimension2mean;dimension1sd;dimension1sd.1;duration
87;R204;2;1;3;1;3;-0.447043412;9.570.289;4.133.569;3.897.782;75
88;R204;2;1;3;3;3;-0.751612248;6.740.609;2.747.812;3.626.267;146
89;R204;2;1;3;5;3;-0.351497897;1.084.832;5.026.498;4.378.339;531
90;R204;2;1;5;1;3;-0.662070658;1.078.401;5.105.781;5.878.133;86
91;R204;2;1;5;3;3;-0.444389312;0.6315176;6.812.848;7.786.394;237
92;R204;2;1;5;5;3;-0.081770182;-256.203;8.499.138;1.531.862;440
93;R205;2;1;1;0;1;-0.619200754;0;600.559;0;63
94;R205;2;1;2;0;1;0.590180077;0;128.082;0;415
95;R205;2;1;3;0;1;-0.880171604;0;3.233.766;0;516
96;R205;2;1;4;0;1;1.376.020.458;0;1.417.279;0;570
97;R205;2;1;5;0;1;110.776.181;0;1.308.538;0;202
98;R205;2;1;1;1;2;1.780.010.669;0;0.7136116;0;25
99;R205;2;1;1;3;2;2.071.152.215;0;1.163.571;0;92
100;R205;2;1;1;5;2;2.069.496.914;0;2.941.376;0;247
101;R205;2;1;3;1;2;-0.638193227;0;4.927.095;0;95
102;R205;2;1;3;3;2;-0.456591305;0;4.773.209;0;211
103;R205;2;1;3;5;2;0.056252376;0;8.725.964;0;644
104;R205;2;1;5;1;2;-1.058.440.242;0;0.4335574;0;33
105;R205;2;1;5;3;2;-1.209.637.062;0;0.9202097;0;100
106;R205;2;1;5;5;2;-1.146.303.018;0;0.616532;0;277
107;R205;2;1;1;1;3;-0.578230441;-9.706.147;6.073.561;5.624.207;138
108;R205;2;1;1;3;3;-0.725775714;-8.774.968;3.523.134;5.110.627;261
109;R205;2;1;1;5;3;-0.293204458;-1.102.052;6.172.791;1.026.452;593
110;R205;2;1;3;1;3;-1.010.897.312;-2.651.841;3.949.601;335.566;65
111;R205;2;1;3;3;3;-1.026.090.083;-1.689.406;8.566.542;2.794.956;92
112;R205;2;1;3;5;3;-0.929447346;-3.768.278;6.061.019;3.244.934;280
113;R205;2;1;5;1;3;-1.100.939.238;2.113.801;6.031.822;2.771.329;156
114;R205;2;1;5;3;3;-0.744505066;187.595;3.469.311;4.240.865;220
115;R205;2;1;5;5;3;-1.086.301.945;3.956.596;1.029.363;305.971;258
116;R101;1;1;1;0;1;0.171815486;0;2.259.128;0;23
117;R101;1;1;2;0;1;0.131165412;0;4.246.779;0;682
118;R101;1;1;3;0;1;-0.464788739;0;3.095.572;0;152
119;R101;1;1;4;0;1;0.419488472;0;8.342.258;0;481
120;R101;1;1;5;0;1;-106.987.909;0;1.187.129;0;431
121;R101;1;1;1;1;2;-0.979208441;0;1.723.523;0;152
122;R101;1;1;1;3;2;-1.063.603.824;0;1.201.852;0;130
123;R101;1;1;1;5;2;-1.135.943.393;0;5.821.689;0;114
124;R101;1;1;3;1;2;0.368459214;0;1.429.738;0;92
125;R101;1;1;3;3;2;-0.942566673;0;1.962.959;0;116
126;R101;1;1;3;5;2;-122.492.243;0;1.621.734;0;25
127;R101;1;1;5;1;2;0.195505746;0;1.380.833;0;225
128;R101;1;1;5;3;2;0.8640861;0;1.437.648;0;326
129;R101;1;1;5;5;2;-0.809035068;0;7.962.868;0;199
130;R101;1;1;1;1;3;0.862852167;6.828.097;1.565.548;3.347.637;124
131;R101;1;1;1;3;3;-0.197510163;1.951.446;1.388.982;2.611.466;289
132;R101;1;1;1;5;3;0.1881781;4.996.079;1.539.605;3.721.104;398
133;R101;1;1;3;1;3;-0.927607475;1.705.036;3.343.197;2.674.939;14
134;R101;1;1;3;3;3;-1.274.625.991;-1.565.504;3.622.676;9.642.117;32
135;R101;1;1;3;5;3;-0.839074464;-1.816.633;2.534.557;2.147.585;145
136;R101;1;1;5;1;3;-0.822399933;6.209.198;2.254.129;4.157.939;109
137;R101;1;1;5;3;3;-1.029.960.949;1.212.064;1.650.441;2.475.129;70
138;R101;1;1;5;5;3;-1.140.326.663;-2.759.754;5.404.233;153.993;116
139;R102;1;1;1;0;1;1.622.169.236;0;2.503.893;0;160
140;R102;1;1;2;0;1;-0.038647042;0;3.466.316;0;112
141;R102;1;1;3;0;1;-0.022645451;0;984.379;0;57
142;R102;1;1;4;0;1;1.798.629.945;0;1.503.087;0;141
143;R102;1;1;5;0;1;1.995.510.888;0;152.614;0;291
144;R102;1;1;1;1;2;2.494.480.629;0;4.123.817;0;44
145;R102;1;1;1;3;2;1.906.225.552;0;5.170.946;0;220
146;R102;1;1;1;5;2;2.287.275.643;0;1.592.116;0;731
147;R102;1;1;3;1;2;0.003141246;0;9.428.482;0;34
148;R102;1;1;3;3;2;0.702575121;0;4.171.322;0;122
149;R102;1;1;3;5;2;0.145870645;0;4.128.157;0;692
150;R102;1;1;5;1;2;-0.89073411;0;2.104.697;0;40
151;R102;1;1;5;3;2;-0.938308148;0;7.621.729;0;163
152;R102;1;1;5;5;2;-1.078.181.606;0;6.326.071;0;544
153;R102;1;1;1;1;3;1.659.616.911;1.133.761;3.303.897;1.742.413;69
154;R102;1;1;1;3;3;143.221.746;1.098.266;2.690.925;1.969.376;205
155;R102;1;1;1;5;3;214.110.559;1.200.592;8.670.082;6.397.662;1094
156;R102;1;1;3;1;3;0.370837604;8.325.021;5.664.373;2.423.415;42
157;R102;1;1;3;3;3;0.611834244;-2.896.291;3.728.889;1.842.006;219
158;R102;1;1;3;5;3;-0.022501874;745.135;5.320.627;3.274.888;1048
159;R102;1;1;5;1;3;-0.839308245;-6.329.277;2.243.446;2.348.151;44
