;participant;condition;reversed;size;colour;phase;dimension1mean;dimension2mean;dimension1sd;dimension1sd.1;duration
368;N201;2;0;5;5;3;-0.195828854;1.037.702;2.266.851;3.559.712;104
369;N202;2;0;1;0;1;-0.079692417;0;5.576.862;0;406
370;N202;2;0;2;0;1;-119.522.392;0;5.732.453;0;77
371;N202;2;0;3;0;1;-0.189108335;0;3.298.743;0;394
372;N202;2;0;4;0;1;-0.752095741;0;2.642.056;0;710
373;N202;2;0;5;0;1;-0.527835507;0;8.016.391;0;439
374;N202;2;0;1;1;2;0.789013696;0;3.160.742;0;436
375;N202;2;0;1;3;2;-1.590.249.514;0;4.387.361;0;577
376;N202;2;0;1;5;2;-0.577027264;0;1.479.487;0;419
377;N202;2;0;3;1;2;0.132419415;0;7.163.677;0;301
378;N202;2;0;3;3;2;-0.577410942;0;1.028.539;0;486
379;N202;2;0;3;5;2;-16.014.122;0;1.831.622;0;641
380;N202;2;0;5;1;2;0.240007208;0;2.384.228;0;33
381;N202;2;0;5;3;2;-0.369456443;0;2.593.733;0;917
382;N202;2;0;5;5;2;-1.225.248.584;0;283.971;0;771
383;N202;2;0;1;1;3;-0.397414309;2.901.334;4.493.644;4.719.597;349
384;N202;2;0;1;3;3;-0.11386055;1.343.489;2.292.117;1.846.961;427
385;N202;2;0;1;5;3;-1.097.915.504;2.696.499;4.375.437;5.263.599;513
386;N202;2;0;3;1;3;-0.128575928;3.015.521;2.588.295;7.075.493;249
387;N202;2;0;3;3;3;-0.517905254;1.161.611;2.712.676;4.072.655;764
388;N202;2;0;3;5;3;-0.137810142;316.105;1.003.999;7.136.067;448
389;N202;2;0;5;1;3;0.357740566;6.457.302;7.062.074;1.932.639;178
390;N202;2;0;5;3;3;-0.222084477;8.373.681;1.455.545;3.672.125;676
391;N202;2;0;5;5;3;-0.509412244;8.118.801;3.248.902;8.447.489;118
392;N203;2;0;1;0;1;-1.522.342.824;0;2.913.541;0;150
393;N203;2;0;2;0;1;-0.147557767;0;6.143.049;0;122
394;N203;2;0;3;0;1;0.032553392;0;3.415.008;0;287
395;N203;2;0;4;0;1;0.483744795;0;2.346.912;0;146
396;N203;2;0;5;0;1;1.199.008.296;0;3.706.548;0;107
397;N203;2;0;1;1;2;1.835.292.958;0;2.673.295;0;226
398;N203;2;0;1;3;2;0.937594741;0;4.945.695;0;411
399;N203;2;0;1;5;2;0.615158116;0;1.617.855;0;31
400;N203;2;0;3;1;2;-0.287501594;0;1.813.687;0;339
401;N203;2;0;3;3;2;-0.332102302;0;3.038.687;0;469
402;N203;2;0;3;5;2;-0.137879525;0;2.639.546;0;594
403;N203;2;0;5;1;2;-243.617.379;0;3.919.071;0;408
404;N203;2;0;5;3;2;-1.491.560.362;0;272.411;0;281
405;N203;2;0;5;5;2;-1.176.982.991;0;0.150641;0;263
406;N203;2;0;1;1;3;1.326.275.312;3.255.514;6.394.184;6.256.865;245
407;N203;2;0;1;3;3;0.669195999;1.397.485;1.892.208;5.576.244;560
408;N203;2;0;1;5;3;0.369542681;8.018.499;3.106.105;1.156.127;411
409;N203;2;0;3;1;3;-0.259292222;2.934.408;9.237.951;4.106.647;229
410;N203;2;0;3;3;3;-0.258764084;1.127.911;1.605.544;4.385.262;498
411;N203;2;0;3;5;3;-0.429956354;5.924.245;6.909.495;1.842.589;580
412;N203;2;0;5;1;3;-3.370.313.535;2.584.989;1.293.745;4.711.909;345
413;N203;2;0;5;3;3;-151.101.734;1.154.059;1.362.906;2.333.283;403
414;N203;2;0;5;5;3;-1.033.958.081;8.974.113;4.193.377;1.335.176;276
415;N204;2;0;1;0;1;0.621638313;0;1.303.438;0;13
416;N204;2;0;2;0;1;1.053.566.731;0;5.319.389;0;109
417;N204;2;0;3;0;1;0.567424504;0;7.452.897;0;139
418;N204;2;0;4;0;1;-0.216637454;0;5.050.926;0;126
419;N204;2;0;5;0;1;0.183798966;0;6.491.263;0;205
420;N204;2;0;1;1;2;-0.258494554;0;2.500.458;0;96
421;N204;2;0;1;3;2;-0.383442151;0;1.835.929;0;93
422;N204;2;0;1;5;2;-0.048407592;0;5.139.402;0;786
423;N204;2;0;3;1;2;-0.479208923;0;1.966.102;0;31
424;N204;2;0;3;3;2;-0.365664197;0;3.390.207;0;173
425;N204;2;0;3;5;2;-0.484768629;0;2.126.166;0;928
426;N204;2;0;5;1;2;0.693318345;0;5.398.193;0;6
427;N204;2;0;5;3;2;0.838302711;0;4.811.553;0;131
428;N204;2;0;5;5;2;0.439941335;0;618.415;0;867
429;N204;2;0;1;1;3;-0.474018715;1.521.735;1.094.384;1.108.367;135
430;N204;2;0;1;3;3;0.374232416;1.117.064;9.167.568;6.945.145;167
431;N204;2;0;1;5;3;0.290937961;7.727.694;8.136.682;4.700.636;471
432;N204;2;0;3;1;3;-0.565333436;8.743.274;5.853.824;5.294.962;138
433;N204;2;0;3;3;3;-0.036312756;9.028.103;1.358.739;5.789.243;402
434;N204;2;0;3;5;3;-0.46926239;1.030.979;1.424.183;5.289.553;1404
435;N204;2;0;5;1;3;-0.504096419;8.578.108;0.8516509;1.213.183;27
436;N204;2;0;5;3;3;-0.531271069;9.735.805;8.595.013;3.322.222;188
437;N204;2;0;5;5;3;-0.776339398;7.756.838;100.312;3.241.891;316
438;N205;2;0;1;0;1;0.043340172;0;2.238.673;0;44
439;N205;2;0;2;0;1;0.120935335;0;1.072.258;0;103
440;N205;2;0;3;0;1;0.41327514;0;302.191;0;182
441;N205;2;0;4;0;1;0.135537363;0;1.212.891;0;149
442;N205;2;0;5;0;1;0.507158287;0;301.686;0;363
443;N205;2;0;1;1;2;0.756014872;0;8.776.588;0;74
444;N205;2;0;1;3;2;0.842028157;0;7.839.363;0;352
445;N205;2;0;1;5;2;0.300088569;0;9.358.657;0;341
446;N205;2;0;3;1;2;0.40452785;0;7.879.083;0;74
447;N205;2;0;3;3;2;0.278884087;0;9.577.515;0;335
448;N205;2;0;3;5;2;0.000119003;0;9.344.797;0;425
449;N205;2;0;5;1;2;-0.282006303;0;6.900.929;0;111
450;N205;2;0;5;3;2;-0.305923555;0;6.417.383;0;421
451;N205;2;0;5;5;2;-0.301922959;0;518.254;0;958
452;N205;2;0;1;1;3;1.785.852.804;3.567.322;3.707.429;1.207.032;162
453;N205;2;0;1;3;3;1.474.190.355;3.865.091;5.761.601;7.283.324;444
454;N205;2;0;1;5;3;-0.12340138;3.770.163;2.483.063;4.806.083;860
455;N205;2;0;3;1;3;0.101521525;1.745.099;3.704.748;4.953.502;120
456;N205;2;0;3;3;3;0.108664888;222.34;4.244.226;3.230.105;375
457;N205;2;0;3;5;3;-0.003554978;2.000.769;2.389.957;2.016.118;1119
458;N205;2;0;5;1;3;-1.911.409.909;6.166.791;2.547.307;9.605.196;71
459;N205;2;0;5;3;3;-1.415.821.516;5.601.418;3.380.256;7.223.431;193
460;N205;2;0;5;5;3;-1.601.046.693;5.523.372;3.888.022;1.027.554;355
461;N206;2;0;1;0;1;-1.935.481.945;0;0.2502068;0;150
462;N206;2;0;2;0;1;-0.172899375;0;100.767;0;252
463;N206;2;0;3;0;1;-0.37304724;0;8.548.096;0;279
464;N206;2;0;4;0;1;0.909480064;0;9.119.694;0;220
465;N206;2;0;5;0;1;-0.800139089;0;6.468.945;0;195
466;N206;2;0;1;1;2;0.127009588;0;7.231.734;0;120
467;N206;2;0;1;3;2;0.838271201;0;5.684.306;0;305
468;N206;2;0;1;5;2;0.429768355;0;8.538.125;0;183
469;N206;2;0;3;1;2;-0.313029401;0;6.355.938;0;33
470;N206;2;0;3;3;2;-0.251916331;0;0.270473;0;218
471;N206;2;0;3;5;2;-0.358672604;0;9.357.006;0;319
472;N206;2;0;5;1;2;-0.701714615;0;611.474;0;176
473;N206;2;0;5;3;2;-0.786388651;0;1.368.346;0;237
474;N206;2;0;5;5;2;-1.491.237.917;0;5.680.856;0;111
475;N206;2;0;1;1;3;0.602539071;122.216;145.941;7.384.536;165
476;N206;2;0;1;3;3;0.997536937;1.375.964;9.089.231;5.541.001;331
477;N206;2;0;1;5;3;1.551.667.463;102.52;7.895.749;4.710.133;236
478;N206;2;0;3;1;3;-0.244763032;4.074.046;6.481.911;1.352.399;128
479;N206;2;0;3;3;3;-0.368295957;4.929.622;1.442.777;1.008.842;94
480;N206;2;0;3;5;3;-0.380343423;1.460.587;1.714.418;7.738.007;208
481;N206;2;0;5;1;3;-0.664419501;1.076.867;0.9955666;3.982.461;227
482;N206;2;0;5;3;3;-0.975536733;7.587.335;6.125.335;2.656.227;134
483;N206;2;0;5;5;3;-1.370.851.477;1.404.938;5.427.463;4.817.421;345
