,id,reversed,condition,phase,phase_order,score,score_n,total_score,entropy_xy,nstates_xy,bic_xy,entropy_xy_n,nstates_xy_n,bic_xy_n,entropy_amp_and_freq,nstates_amp_and_freq,bic_amp_and_freq,entropy_amp_and_freq_n,nstates_amp_and_freq_n,bic_amp_and_freq_n,entropy_amp_and_mel,nstates_amp_and_mel,bic_amp_and_mel,entropy_amp_and_mel_n,nstates_amp_and_mel_n,bic_amp_and_mel_n,llh_xy,llh_amp_and_freq,llh_amp_and_mel,llh_xy_n,llh_amp_and_freq_n,llh_amp_and_mel_n
0,1230105514,0,1,0,0,0.4,-1.0709987199662339,0.608695652,0.99,13,8732.48241598042,,-1.0157350428230643,-0.8083149636385142,0.99,14,11945.343315275084,,-0.8117788660370412,-0.5407944754137386,0.99,13,12125.760118328832,,-1.0073144558789286,-0.5463998772674453,-7.953145954600457e+19,2.7793514158544545e+21,3.936080468909741e+21,-0.1626577880324472,-0.129403152783845,-0.1321337230262828
1,1230105514,0,1,1,1,0.444444444,-0.879360073316752,0.608695652,0.99,20,17462.517320694653,,0.19061351703363405,-0.5464452348673853,0.99,17,23028.86256827616,,-0.26876462456631767,0.2319666221764632,0.99,20,23241.883766086667,,0.23701516608915946,0.23166982585316256,5.14630765667631e+29,2.6983086417048147e+32,1.2914262924350378e+32,-0.16265778803243786,-0.12940299833615604,-0.13213361246168195
2,1230105514,0,1,2,2,0.8888888890000001,1.037026414737416,0.608695652,0.99,27,32021.12506486757,,1.3969620768903324,-0.10973923049699207,0.99,21,-1922.4010232850364,,0.4552543640613138,-1.5076763016228951,0.99,25,-1276.7701853066683,,1.125822038923508,-1.4845059207818148,-1.8459619055303784e+34,-6.571742752421355e+28,-1.2389393854662131e+27,-0.16265778836751815,-0.1294031528214608,-0.1321337230273435
3,1230115514,0,1,0,0,0.3,-1.5021856792394381,0.6739130440000001,0.99,9,4316.05068094072,,-1.7050770770268917,-0.9407920720595269,0.99,11,4820.233696443422,,-1.3547931075077648,-1.0375687764109605,0.99,9,5018.953765575099,,-1.7183599541464076,-1.0438386323804372,1.466155304026253e+18,3.296409356249682e+18,1.1114970729434112e+19,-0.1626577880324472,-0.129403152783845,-0.1321337230262828
4,1230115514,0,1,1,1,0.611111111,-0.16071513975745527,0.6739130440000001,0.99,19,16052.358678693618,,0.018278008482677154,-0.5887449352850392,0.99,20,19112.949975607033,,0.2742496169044059,-0.04105721114785949,0.99,18,19619.77938444525,,-0.11850758304458003,-0.021858271728231456,2.9744652562868355e+30,6.446264148546972e+31,1.5381162123652631e+32,-0.1626577880323932,-0.1294031158862646,-0.13213359134148897
5,1230115514,0,1,2,2,0.944444444,1.2765747230492683,0.6739130440000001,0.99,24,40022.90003140899,,0.8799555512374616,0.1302853127089326,0.99,24,852.5220927257278,,0.9982686055320373,-1.3142041215410787,0.99,25,1053.5253606573924,,1.125822038923508,-1.3213975908382873,2.4292673399684625e+34,-5.192676682956276e+24,-3.930848723088041e+26,-0.1626577875914972,-0.12940315278384798,-0.13213372302661933
6,12301516514,0,1,0,0,0.7,0.22256215785337788,0.913043478,0.99,21,18252.641152477467,,0.3629490255845909,-0.5227443544261353,0.99,22,22688.74402524403,,0.6362591112182217,0.20825300084151369,0.99,20,23305.351038077668,,0.23701516608915946,0.23611219830607008,-9.601521310776667e+22,1.4119761670128754e+22,3.67874329562506e+23,-0.1626577880324472,-0.129403152783845,-0.13213372302628248
7,12301516514,0,1,1,1,0.944444444,1.2765747230492683,0.913043478,0.99,24,36167.14289008072,,0.8799555512374616,0.01462643071961375,0.99,26,42302.77180005634,,1.360278099845853,1.5757751105112043,0.99,22,43543.2812388915,,0.5925379152228989,1.6526599843950576,3.7200901919830116e+35,1.0877296811774902e+37,3.2652210330452518e+37,-0.162657781279902,-0.1231771290851425,-0.10417875089786659
8,12301516514,0,1,2,2,1.0,1.5161230356729902,0.913043478,0.99,28,76995.64496411021,,1.5692975854412892,1.2393350236353207,0.99,26,12970.101491649402,,1.360278099845853,-0.4693466586090597,0.99,22,13454.038839681865,,0.5925379152228989,-0.45342741104330114,4.129148580199245e+40,-3.2905866186631195e+29,1.345175582560769e+30,-0.16190828302134996,-0.1294031529721939,-0.1321337218746197
9,12301720514,0,1,0,0,0.6,-0.20862480141982603,0.543478261,0.3539544331293095,9,7439.393645553969,,-1.7050770770268917,-0.8471029878886477,0.99,9,9197.797993743228,,-1.7168026018215805,-0.7323578308679085,0.3531318998084758,9,8921.16758554259,,-1.7183599541464076,-0.7707043596227163,4.103251151643138e+20,3.243299997276624e+21,2.3395117171367425e+21,-0.1626577880324472,-0.129403152783845,-0.1321337230262828
10,12301720514,0,1,1,1,0.5555555560000001,-0.40026344806930764,0.543478261,0.99,14,14648.8727926185,,-0.8433995342721073,-0.6308444769629461,0.99,15,19543.503371503248,,-0.6307741188801333,-0.011038323898319245,0.99,16,18614.594328752355,,-0.4740303321783195,-0.09221589482124155,3.1039157491426284e+31,1.0685564243313196e+33,5.876053255883903e+32,-0.1626577880318838,-0.12940254115599883,-0.13213321995190183
11,12301720514,0,1,2,2,0.5,-0.6398117606930299,0.543478261,0.99,27,56497.381274139676,,1.3969620768903324,0.624460648978124,0.99,24,14082.54646436741,,0.9982686055320373,-0.3917851748868655,0.99,27,10964.651289041904,,1.4813447880572477,-0.6276713376003124,1.1255601620988394e+39,-1.8096738893702276e+31,1.7618874418632343e+30,-0.16263735735611287,-0.12940316314218378,-0.1321337215178546
