participant,condition,reversed,size,colour,phase,dimension1mean,dimension2mean,dimension1sd,dimension1sd,duration,,
N203,2,0,3,5,3,-122.3847,115.4059,13.62906,23.33283,403,,
N203,2,0,5,5,3,-76.96386,89.74113,4.193377,1.335176,276,,
N204,2,0,1,,1,80.66557,0,13.03438,0,13,,
N204,2,0,2,,1,121.7895,0,53.19389,0,109,,
N204,2,0,3,,1,75.50387,0,74.52897,0,139,,
N204,2,0,4,,1,0.853285,0,50.50926,0,126,,
N204,2,0,5,,1,38.97886,0,64.91263,0,205,,
N204,2,0,1,1,2,-3.131932,0,25.00458,0,96,,
N204,2,0,3,1,2,-15.0282,0,18.35929,0,93,,
N204,2,0,5,1,2,16.87046,0,51.39402,0,786,,
N204,2,0,1,3,2,-24.14616,0,19.66102,0,31,,
N204,2,0,3,3,2,-13.33556,0,33.90207,0,173,,
N204,2,0,5,3,2,-24.6755,0,21.26166,0,928,,
N204,2,0,1,5,2,87.49023,0,53.98193,0,6,,
N204,2,0,3,5,2,101.2942,0,48.11553,0,131,,
N204,2,0,5,5,2,63.36619,0,61.8415,0,867,,
N204,2,0,1,1,3,-23.652,152.1735,10.94384,110.8367,135,,
N204,2,0,3,1,3,57.11004,111.7064,9.167568,69.45145,167,,
N204,2,0,5,1,3,49.17957,77.27694,8.136682,47.00636,471,,
N204,2,0,1,3,3,-32.34608,87.43274,5.853824,52.94962,138,,
N204,2,0,3,3,3,18.02201,90.28103,13.58739,57.89243,402,,
N204,2,0,5,3,3,-23.19915,103.0979,14.24183,52.89553,1404,,
N204,2,0,1,5,3,-26.5157,85.78108,0.8516509,12.13183,27,,
N204,2,0,3,5,3,-29.103,97.35805,8.595013,33.22222,188,,
N204,2,0,5,5,3,-52.43597,77.56838,10.0312,32.41891,316,,
N205,2,0,1,,1,25.60577,0,22.38673,0,44,,
N205,2,0,2,,1,32.99361,0,10.72258,0,103,,
N205,2,0,3,,1,60.8273,0,30.2191,0,182,,
N205,2,0,4,,1,34.38387,0,12.12891,0,149,,
N205,2,0,5,,1,69.76592,0,30.1686,0,363,,
N205,2,0,1,1,2,93.45957,0,87.76588,0,74,,
N205,2,0,3,1,2,101.6489,0,78.39363,0,352,,
N205,2,0,5,1,2,50.0508,0,93.58657,0,341,,
N205,2,0,1,3,2,59.99447,0,78.79083,0,74,,
N205,2,0,3,3,2,48.03192,0,95.77515,0,335,,
N205,2,0,5,3,2,21.49068,0,93.44797,0,425,,
N205,2,0,1,5,2,-5.370487,0,69.00929,0,111,,
N205,2,0,3,5,2,-7.64765,0,64.17383,0,421,,
N205,2,0,5,5,2,-7.266753,0,51.8254,0,958,,
N205,2,0,1,1,3,191.5105,356.7322,37.07429,120.7032,162,,
N205,2,0,3,1,3,161.8371,386.5091,57.61601,72.83324,444,,
N205,2,0,5,1,3,9.730297,377.0163,24.83063,48.06083,860,,
N205,2,0,1,3,3,31.14522,174.5099,37.04748,49.53502,120,,
N205,2,0,3,3,3,31.82534,222.34,42.44226,32.30105,375,,
N205,2,0,5,3,3,21.14088,200.0769,23.89957,20.16118,1119,,
N205,2,0,1,5,3,-160.5061,61.66791,25.47307,9.605196,71,,
N205,2,0,3,5,3,-113.3211,56.01418,33.80256,7.223431,193,,
N205,2,0,5,5,3,-130.9564,55.23372,38.88022,10.27554,355,,
N206,2,0,1,,1,-162.798,0,0.2502068,0,150,,
N206,2,0,2,,1,5.01759,0,100.767,0,252,,
N206,2,0,3,,1,-14.0385,0,85.48096,0,279,,
N206,2,0,4,,1,108.071,0,91.19694,0,220,,
N206,2,0,5,,1,-54.70194,0,64.68945,0,195,,
N206,2,0,1,1,2,33.57194,0,7.231734,0,120,,
N206,2,0,3,1,2,101.2912,0,56.84306,0,305,,
N206,2,0,5,1,2,62.39762,0,85.38125,0,183,,
N206,2,0,1,3,2,-8.324198,0,6.355938,0,33,,
N206,2,0,3,3,2,-2.505619,0,0.270473,0,218,,
N206,2,0,5,3,2,-12.66989,0,9.357006,0,319,,
N206,2,0,1,5,2,-45.33094,0,6.11474,0,176,,
N206,2,0,3,5,2,-53.39276,0,13.68346,0,237,,
N206,2,0,5,5,2,-120.5015,0,56.80856,0,111,,
N206,2,0,1,1,3,78.84713,122.216,1.45941,73.84536,165,,
N206,2,0,3,1,3,116.4549,137.5964,90.89231,55.41001,331,,
N206,2,0,5,1,3,169.2137,102.52,78.95749,47.10133,236,,
N206,2,0,1,3,3,-1.824553,40.74046,6.481911,13.52399,128,,
N206,2,0,3,3,3,-13.58613,49.29622,14.42777,1.008842,94,,
N206,2,0,5,3,3,-14.73317,146.0587,17.14418,77.38007,208,,
N206,2,0,1,5,3,-41.78007,107.6867,0.9955666,39.82461,227,,
N206,2,0,3,5,3,-71.40156,75.87335,61.25335,26.56227,134,,
N206,2,0,5,5,3,-109.0395,140.4938,54.27463,48.17421,345,,
